Id,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,Genre_new,country_chart,date_chart,position_chart
1pJQAHpD51J7GYaFrrFO9S,604.4,dont say,The Chainsmokers - Emily Warren,album,dance pop,16931568.0,Memories...Do Not Open,2017-04-07,0.5670000000000001,0.464,5,-9.66,1,0.0302,0.0199,9.31e-06,0.269,0.309,99.806,pop,Taiwan,2017-04-07,20.0
1pV9TLnQdOHbvourRO7x4m,16091.250000000002,comethru,Jeremy Zucker,album,pop,1262102,love is not dying,2020-04-17,0.795,0.18,0,-12.293,1,0.0608,0.59,0.0,0.621,0.611,94.02,pop,Indonesia,2020-04-26,33.0
1pZdegOXTZ2ftINo3oUuRZ,9656.750000000002,bedroom floor,Liam Payne,single,dance pop,6545211,Bedroom Floor,2017-10-20,0.6779999999999999,0.679,1,-7.093,1,0.0644,0.301,0.000136,0.112,0.218,119.977,pop,Ireland,2017-11-02,23.0
1pdsxChEjs2GMSxKAaaZVs,1171.9499999999996,bersenyawa,Dengarkan Dia,single,indonesian pop,208046.0,11/13,2017-04-16,0.319,0.14,2,-12.405,1,0.0356,0.848,1.25e-05,0.154,0.374,159.76,pop,Indonesia,2017-04-28,90.0
1pmfd0ohjfh1qXPWvjaC1o,489.4,not by the moon,GOT7,single,k-pop,4124785.0,DYE,2020-04-20,0.5489999999999999,0.813,5,-4.828,0,0.148,0.0556,4.44e-06,0.207,0.544,151.813,k-pop,Malaysia,2020-04-24,36.0
1pz24zu5H9A0S1a2NKT4F0,175.0,soulmate,ZICO - IU,single,k-pop,806554.0,SoulMate (feat. IU),2018-07-30,0.855,0.58,5,-6.9510000000000005,1,0.141,0.234,0.0,0.0965,0.518,96.998,k-pop,Taiwan,2018-08-03,24.0
1q1dsfckKMgjfr8DfdeKfs,21189.550000000007,amin paling serius,Sal Priadi - Nadin Amizah,album,indonesian indie,65096.0,Berhati,2020-02-20,0.361,0.255,7,-9.917,1,0.0306,0.969,0.00347,0.112,0.22,129.968,indie,Indonesia,2020-06-02,69.0
1q3C6brbmRrULTyo2mseKF,4128.85,flash,X1,single,k-pop,275503.0,QUANTUM LEAP,2019-08-27,0.674,0.91,7,-2.898,0,0.0594,0.029,0.0,0.342,0.599,132.04,k-pop,Indonesia,2019-09-01,27.0
1qAPA8TooLVEqAZ58fhcrt,21134.550000000007,boombayah - kr ver.,BLACKPINK,single,k-pop,16413563.0,SQUARE TWO,2017-07-20,0.657,0.85,5,-3.157,0,0.0694,0.00264,0.0,0.412,0.375,124.882,k-pop,Malaysia,2019-02-24,50.0
1qOLh0tI7trd1zdDKxYZTe,35215.650000000016,starving,Hailee Steinfeld - Grey - Zedd,single,dance pop,6237932,HAIZ,2016-07-15,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721,pop,Indonesia,2017-01-03,6.0
